Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.339
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.805
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.781
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 1.410
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 2.214
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.858
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.410
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 1.410
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 1.410
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[16].puf_inst/dl1/Q_reg/G, puf_loop[16].puf_inst/dl0/Q_reg/D, 1.351
puf_loop[16].puf_inst/dl0/Q_reg/G, puf_loop[16].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[17].puf_inst/dl1/Q_reg/G, puf_loop[17].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[17].puf_inst/dl0/Q_reg/G, puf_loop[17].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[18].puf_inst/dl1/Q_reg/G, puf_loop[18].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[18].puf_inst/dl0/Q_reg/G, puf_loop[18].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[19].puf_inst/dl1/Q_reg/G, puf_loop[19].puf_inst/dl0/Q_reg/D, 1.278
puf_loop[19].puf_inst/dl0/Q_reg/G, puf_loop[19].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 1.709
