Pin From, Pin To, Datapath Delay (ps)
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 1.717
puf_loop[20].puf_inst/dl1/Q_reg/G, puf_loop[20].puf_inst/dl0/Q_reg/D, 1.353
puf_loop[20].puf_inst/dl0/Q_reg/G, puf_loop[20].puf_inst/dl1/Q_reg/D, 1.185
puf_loop[21].puf_inst/dl1/Q_reg/G, puf_loop[21].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[21].puf_inst/dl0/Q_reg/G, puf_loop[21].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[22].puf_inst/dl1/Q_reg/G, puf_loop[22].puf_inst/dl0/Q_reg/D, 1.200
puf_loop[22].puf_inst/dl0/Q_reg/G, puf_loop[22].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[23].puf_inst/dl1/Q_reg/G, puf_loop[23].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[23].puf_inst/dl0/Q_reg/G, puf_loop[23].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[24].puf_inst/dl1/Q_reg/G, puf_loop[24].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[24].puf_inst/dl0/Q_reg/G, puf_loop[24].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[25].puf_inst/dl1/Q_reg/G, puf_loop[25].puf_inst/dl0/Q_reg/D, 1.278
puf_loop[25].puf_inst/dl0/Q_reg/G, puf_loop[25].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[26].puf_inst/dl1/Q_reg/G, puf_loop[26].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[26].puf_inst/dl0/Q_reg/G, puf_loop[26].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[27].puf_inst/dl1/Q_reg/G, puf_loop[27].puf_inst/dl0/Q_reg/D, 1.195
puf_loop[27].puf_inst/dl0/Q_reg/G, puf_loop[27].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[28].puf_inst/dl1/Q_reg/G, puf_loop[28].puf_inst/dl0/Q_reg/D, 1.517
puf_loop[28].puf_inst/dl0/Q_reg/G, puf_loop[28].puf_inst/dl1/Q_reg/D, 1.978
puf_loop[29].puf_inst/dl1/Q_reg/G, puf_loop[29].puf_inst/dl0/Q_reg/D, 1.399
puf_loop[29].puf_inst/dl0/Q_reg/G, puf_loop[29].puf_inst/dl1/Q_reg/D, 1.327
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 1.339
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[30].puf_inst/dl1/Q_reg/G, puf_loop[30].puf_inst/dl0/Q_reg/D, 1.943
puf_loop[30].puf_inst/dl0/Q_reg/G, puf_loop[30].puf_inst/dl1/Q_reg/D, 1.836
puf_loop[31].puf_inst/dl1/Q_reg/G, puf_loop[31].puf_inst/dl0/Q_reg/D, 1.195
puf_loop[31].puf_inst/dl0/Q_reg/G, puf_loop[31].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.181
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 1.339
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.339
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.339
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.181
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 1.339
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.183
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.805
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.781
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.268
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.410
