Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.678
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 1.943
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.578
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.557
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 2.119
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 2.078
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 1.690
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.546
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.666
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.993
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 1.575
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.558
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 2.089
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 2.070
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 2.262
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 1.969
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 2.055
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 2.122
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.965
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 1.613
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.560
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.902
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.675
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 2.007
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.577
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 2.019
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.569
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 2.051
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.689
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.543
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.668
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.995
