Pin From, Pin To, Datapath Delay (ps)
puf_loop[26].puf_inst/dl1/Q_reg/G, puf_loop[26].puf_inst/dl0/Q_reg/D, 1.351
puf_loop[26].puf_inst/dl0/Q_reg/G, puf_loop[26].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[27].puf_inst/dl1/Q_reg/G, puf_loop[27].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[27].puf_inst/dl0/Q_reg/G, puf_loop[27].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[28].puf_inst/dl1/Q_reg/G, puf_loop[28].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[28].puf_inst/dl0/Q_reg/G, puf_loop[28].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[29].puf_inst/dl1/Q_reg/G, puf_loop[29].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[29].puf_inst/dl0/Q_reg/G, puf_loop[29].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[30].puf_inst/dl1/Q_reg/G, puf_loop[30].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[30].puf_inst/dl0/Q_reg/G, puf_loop[30].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[31].puf_inst/dl1/Q_reg/G, puf_loop[31].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[31].puf_inst/dl0/Q_reg/G, puf_loop[31].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.329
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.342
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.359
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.393
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.359
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.393
