Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.359
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.393
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 1.359
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 1.393
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 1.485
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.433
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.485
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.433
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 0.948
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.667
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 1.485
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 1.433
puf_loop[16].puf_inst/dl1/Q_reg/G, puf_loop[16].puf_inst/dl0/Q_reg/D, 1.351
puf_loop[16].puf_inst/dl0/Q_reg/G, puf_loop[16].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[17].puf_inst/dl1/Q_reg/G, puf_loop[17].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[17].puf_inst/dl0/Q_reg/G, puf_loop[17].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[18].puf_inst/dl1/Q_reg/G, puf_loop[18].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[18].puf_inst/dl0/Q_reg/G, puf_loop[18].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[19].puf_inst/dl1/Q_reg/G, puf_loop[19].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[19].puf_inst/dl0/Q_reg/G, puf_loop[19].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 1.342
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 1.329
puf_loop[20].puf_inst/dl1/Q_reg/G, puf_loop[20].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[20].puf_inst/dl0/Q_reg/G, puf_loop[20].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[21].puf_inst/dl1/Q_reg/G, puf_loop[21].puf_inst/dl0/Q_reg/D, 1.278
puf_loop[21].puf_inst/dl0/Q_reg/G, puf_loop[21].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[22].puf_inst/dl1/Q_reg/G, puf_loop[22].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[22].puf_inst/dl0/Q_reg/G, puf_loop[22].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[23].puf_inst/dl1/Q_reg/G, puf_loop[23].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[23].puf_inst/dl0/Q_reg/G, puf_loop[23].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[24].puf_inst/dl1/Q_reg/G, puf_loop[24].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[24].puf_inst/dl0/Q_reg/G, puf_loop[24].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[25].puf_inst/dl1/Q_reg/G, puf_loop[25].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[25].puf_inst/dl0/Q_reg/G, puf_loop[25].puf_inst/dl1/Q_reg/D, 1.341
