Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.373
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 2.023
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.486
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.476
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 1.421
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 1.380
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 1.373
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.538
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.482
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.458
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 1.487
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.474
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 1.387
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 1.375
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 1.482
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 2.000
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 1.487
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 2.029
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.400
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 2.153
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.494
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.486
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.485
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 1.481
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.571
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 1.370
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.504
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 1.471
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.369
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.538
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.484
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.460
