Pin From, Pin To, Datapath Delay (ps)
puf_loop[25].puf_inst/dl1/Q_reg/G, puf_loop[25].puf_inst/dl0/Q_reg/D, 1.280
puf_loop[25].puf_inst/dl0/Q_reg/G, puf_loop[25].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[26].puf_inst/dl1/Q_reg/G, puf_loop[26].puf_inst/dl0/Q_reg/D, 1.422
puf_loop[26].puf_inst/dl0/Q_reg/G, puf_loop[26].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[27].puf_inst/dl1/Q_reg/G, puf_loop[27].puf_inst/dl0/Q_reg/D, 1.280
puf_loop[27].puf_inst/dl0/Q_reg/G, puf_loop[27].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[28].puf_inst/dl1/Q_reg/G, puf_loop[28].puf_inst/dl0/Q_reg/D, 1.278
puf_loop[28].puf_inst/dl0/Q_reg/G, puf_loop[28].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[29].puf_inst/dl1/Q_reg/G, puf_loop[29].puf_inst/dl0/Q_reg/D, 1.424
puf_loop[29].puf_inst/dl0/Q_reg/G, puf_loop[29].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 1.842
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 1.692
puf_loop[30].puf_inst/dl1/Q_reg/G, puf_loop[30].puf_inst/dl0/Q_reg/D, 1.280
puf_loop[30].puf_inst/dl0/Q_reg/G, puf_loop[30].puf_inst/dl1/Q_reg/D, 1.418
puf_loop[31].puf_inst/dl1/Q_reg/G, puf_loop[31].puf_inst/dl0/Q_reg/D, 1.200
puf_loop[31].puf_inst/dl0/Q_reg/G, puf_loop[31].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.496
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 1.692
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.508
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.309
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.309
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 1.508
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.309
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 1.508
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.330
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 1.508
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.673
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.867
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.673
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.867
