Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.842
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 1.692
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.673
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.867
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 1.695
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 1.867
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 1.554
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.720
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.900
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.720
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 1.554
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.720
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 1.900
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 1.720
puf_loop[16].puf_inst/dl1/Q_reg/G, puf_loop[16].puf_inst/dl0/Q_reg/D, 1.791
puf_loop[16].puf_inst/dl0/Q_reg/G, puf_loop[16].puf_inst/dl1/Q_reg/D, 1.929
puf_loop[17].puf_inst/dl1/Q_reg/G, puf_loop[17].puf_inst/dl0/Q_reg/D, 1.353
puf_loop[17].puf_inst/dl0/Q_reg/G, puf_loop[17].puf_inst/dl1/Q_reg/D, 1.185
puf_loop[18].puf_inst/dl1/Q_reg/G, puf_loop[18].puf_inst/dl0/Q_reg/D, 1.353
puf_loop[18].puf_inst/dl0/Q_reg/G, puf_loop[18].puf_inst/dl1/Q_reg/D, 1.185
puf_loop[19].puf_inst/dl1/Q_reg/G, puf_loop[19].puf_inst/dl0/Q_reg/D, 1.424
puf_loop[19].puf_inst/dl0/Q_reg/G, puf_loop[19].puf_inst/dl1/Q_reg/D, 1.268
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 1.842
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 1.692
puf_loop[20].puf_inst/dl1/Q_reg/G, puf_loop[20].puf_inst/dl0/Q_reg/D, 1.353
puf_loop[20].puf_inst/dl0/Q_reg/G, puf_loop[20].puf_inst/dl1/Q_reg/D, 1.185
puf_loop[21].puf_inst/dl1/Q_reg/G, puf_loop[21].puf_inst/dl0/Q_reg/D, 1.200
puf_loop[21].puf_inst/dl0/Q_reg/G, puf_loop[21].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[22].puf_inst/dl1/Q_reg/G, puf_loop[22].puf_inst/dl0/Q_reg/D, 1.350
puf_loop[22].puf_inst/dl0/Q_reg/G, puf_loop[22].puf_inst/dl1/Q_reg/D, 1.181
puf_loop[23].puf_inst/dl1/Q_reg/G, puf_loop[23].puf_inst/dl0/Q_reg/D, 1.194
puf_loop[23].puf_inst/dl0/Q_reg/G, puf_loop[23].puf_inst/dl1/Q_reg/D, 1.341
puf_loop[24].puf_inst/dl1/Q_reg/G, puf_loop[24].puf_inst/dl0/Q_reg/D, 1.424
puf_loop[24].puf_inst/dl0/Q_reg/G, puf_loop[24].puf_inst/dl1/Q_reg/D, 1.268
