Net Name, To Pin, Delay Type, Delay (ps)
puf_loop[0].puf_inst/dl0/in0,puf_loop[0].puf_inst/dl1/Q_reg_i_1/I0,NetDelay,493
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][0]_srl8/D,NetDelay,3726
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M_i_1/I1,NetDelay,3106
puf_loop[0].puf_inst/dl0/OUT,puf_loop[0].puf_inst/dl0/Q_reg/D,NetDelay,549
puf_loop[0].puf_inst/dl0/out,puf_loop[0].puf_inst/dl0/OUT_INST_0/I0,NetDelay,493
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][17]_srl8/D,NetDelay,2388
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[17].U_M_i_1/I0,NetDelay,3114
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl0/Q_reg/CLR,NetDelay,3773
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl1/Q_reg/CLR,NetDelay,3773
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl0/Q_reg/CLR,NetDelay,3484
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl1/Q_reg/CLR,NetDelay,3484
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl0/Q_reg/CLR,NetDelay,3195
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl1/Q_reg/CLR,NetDelay,3195
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl0/Q_reg/CLR,NetDelay,2905
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl1/Q_reg/CLR,NetDelay,2905
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl0/Q_reg/CLR,NetDelay,2616
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl1/Q_reg/CLR,NetDelay,2616
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl0/Q_reg/CLR,NetDelay,2327
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl1/Q_reg/CLR,NetDelay,2327
puf_loop[0].puf_inst/dl0/reset,puf_loop[16].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[17].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[18].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[19].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl0/Q_reg/CLR,NetDelay,3802
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl1/Q_reg/CLR,NetDelay,3664
puf_loop[0].puf_inst/dl0/reset,puf_loop[20].puf_inst/reset,NetDelay,0
